AvgSpotLen	BioSample	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	Gene	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	Study_type	collected_by	collection_date	geo_loc_name	host	host_disease	isolate	isolation_source	sample_type	strain	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Platform	SRA_Study
301	SAMN11483516	sra	ncbi		SRX5731020	DHPS, DHFR	93KExxxxx0072PfC0031	2019-04-24	2	1	Plasmodium falciparum	2019-04-24	SRR8951223	SRS4668535	93KExxxxx0072PfC0031	Cohort Cross-Section	Wera	1993	Kenya	Homo sapiens		93KExxxxx0072PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
319	SAMN11483783	sra	ncbi		SRX5731019	DHPS, DHFR	95KExxxxx0367PfC0031	2019-04-24	1	0	Plasmodium falciparum	2019-04-24	SRR8951224	SRS4668534	95KExxxxx0367PfC0031	Cohort Cross-Section	Aduoyo Miyare	1995	Kenya	Homo sapiens		95KExxxxx0367PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
295	SAMN11483495	sra	ncbi		SRX5731018	DHPS, DHFR	94KExxxxx0051PfC0031	2019-04-24	3	1	Plasmodium falciparum	2019-04-24	SRR8951225	SRS4668533	94KExxxxx0051PfC0031	Cohort Cross-Section	Aduoyo Miyare	1994	Kenya	Homo sapiens		94KExxxxx0051PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
311	SAMN11483784	sra	ncbi		SRX5731017	DHPS, DHFR	95KExxxxx0368PfC0031	2019-04-24	1	0	Plasmodium falciparum	2019-04-24	SRR8951226	SRS4668532	95KExxxxx0368PfC0031	Cohort Cross-Section	Mabinju	1995	Kenya	Homo sapiens		95KExxxxx0368PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
278	SAMN11483496	sra	ncbi		SRX5731016	DHPS, DHFR	94KExxxxx0052PfC0031	2019-04-24	2	1	Plasmodium falciparum	2019-04-24	SRR8951227	SRS4668531	94KExxxxx0052PfC0031	Cohort Cross-Section	Aduoyo Miyare	1994	Kenya	Homo sapiens		94KExxxxx0052PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
294	SAMN11483662	sra	ncbi		SRX5731015	DHPS, DHFR	93KExxxxx0246PfC0031	2019-04-24	28	14	Plasmodium falciparum	2019-04-24	SRR8951228	SRS4668529	93KExxxxx0246PfC0031	Cohort Cross-Section	Raliew	1993	Kenya	Homo sapiens		93KExxxxx0246PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
247	SAMN11483661	sra	ncbi		SRX5731014	DHPS, DHFR	93KExxxxx0245PfC0031	2019-04-24	53	27	Plasmodium falciparum	2019-04-24	SRR8951229	SRS4668530	93KExxxxx0245PfC0031	Cohort Cross-Section	Raliew	1993	Kenya	Homo sapiens		93KExxxxx0245PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
322	SAMN11483660	sra	ncbi		SRX5731013	DHPS, DHFR	93KExxxxx0244PfC0031	2019-04-24	19	10	Plasmodium falciparum	2019-04-24	SRR8951230	SRS4668528	93KExxxxx0244PfC0031	Cohort Cross-Section	Raliew	1993	Kenya	Homo sapiens		93KExxxxx0244PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
308	SAMN11483659	sra	ncbi		SRX5731012	DHPS, DHFR	93KExxxxx0243PfC0031	2019-04-24	17	9	Plasmodium falciparum	2019-04-24	SRR8951231	SRS4668527	93KExxxxx0243PfC0031	Cohort Cross-Section	Raliew	1993	Kenya	Homo sapiens		93KExxxxx0243PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
399	SAMN11483658	sra	ncbi		SRX5731011	DHPS, DHFR	93KExxxxx0242PfC0031	2019-04-24	0	0	Plasmodium falciparum	2019-04-24	SRR8951232	SRS4668526	93KExxxxx0242PfC0031	Cohort Cross-Section	Raliew	1993	Kenya	Homo sapiens		93KExxxxx0242PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
323	SAMN11483657	sra	ncbi		SRX5731010	DHPS, DHFR	92KExxxxx0241PfC0031	2019-04-24	11	6	Plasmodium falciparum	2019-04-24	SRR8951233	SRS4668525	92KExxxxx0241PfC0031	Cohort Cross-Section	Mabinju	1992	Kenya	Homo sapiens		92KExxxxx0241PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
290	SAMN11483803	sra	ncbi		SRX5731009	DHPS, DHFR	96KExxxxx0387PfC0031	2019-04-24	0	0	Plasmodium falciparum	2019-04-24	SRR8951234	SRS4668524	96KExxxxx0387PfC0031	Cohort Cross-Section	Mabinju	1996	Kenya	Homo sapiens		96KExxxxx0387PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
301	SAMN11483804	sra	ncbi		SRX5731008	DHPS, DHFR	96KExxxxx0388PfC0031	2019-04-24	1	1	Plasmodium falciparum	2019-04-24	SRR8951235	SRS4668523	96KExxxxx0388PfC0031	Cohort Cross-Section	Ujanga/Nyachida	1996	Kenya	Homo sapiens		96KExxxxx0388PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
265	SAMN11483801	sra	ncbi		SRX5731007	DHPS, DHFR	96KExxxxx0385PfC0031	2019-04-24	0	0	Plasmodium falciparum	2019-04-24	SRR8951236	SRS4668522	96KExxxxx0385PfC0031	Cohort Cross-Section	Mabinju	1996	Kenya	Homo sapiens		96KExxxxx0385PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
288	SAMN11483802	sra	ncbi		SRX5731006	DHPS, DHFR	95KExxxxx0386PfC0031	2019-04-24	1	0	Plasmodium falciparum	2019-04-24	SRR8951237	SRS4668520	95KExxxxx0386PfC0031	Cohort Cross-Section	Aduoyo Miyare	1995	Kenya	Homo sapiens		95KExxxxx0386PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
325	SAMN11483683	sra	ncbi		SRX5731005	DHPS, DHFR	93KExxxxx0267PfC0031	2019-04-24	9	5	Plasmodium falciparum	2019-04-24	SRR8951238	SRS4668521	93KExxxxx0267PfC0031	Cohort Cross-Section	Ujanga/Nyachida	1993	Kenya	Homo sapiens		93KExxxxx0267PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
317	SAMN11483800	sra	ncbi		SRX5731004	DHPS, DHFR	96KExxxxx0384PfC0031	2019-04-24	1	0	Plasmodium falciparum	2019-04-24	SRR8951239	SRS4668519	96KExxxxx0384PfC0031	Cohort Cross-Section	Mabinju	1996	Kenya	Homo sapiens		96KExxxxx0384PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
279	SAMN11483797	sra	ncbi		SRX5731003	DHPS, DHFR	95KExxxxx0381PfC0031	2019-04-24	1	1	Plasmodium falciparum	2019-04-24	SRR8951240	SRS4668518	95KExxxxx0381PfC0031	Cohort Cross-Section	Ndwara/Nyangoma	1995	Kenya	Homo sapiens		95KExxxxx0381PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
301	SAMN11483798	sra	ncbi		SRX5731002	DHPS, DHFR	96KExxxxx0382PfC0031	2019-04-24	1	0	Plasmodium falciparum	2019-04-24	SRR8951241	SRS4668517	96KExxxxx0382PfC0031	Cohort Cross-Section	Bwaja/Ndara	1996	Kenya	Homo sapiens		96KExxxxx0382PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
299	SAMN11483795	sra	ncbi		SRX5731001	DHPS, DHFR	95KExxxxx0379PfC0031	2019-04-24	2	1	Plasmodium falciparum	2019-04-24	SRR8951242	SRS4668516	95KExxxxx0379PfC0031	Cohort Cross-Section	Mabinju	1995	Kenya	Homo sapiens		95KExxxxx0379PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
308	SAMN11483796	sra	ncbi		SRX5731000	DHPS, DHFR	95KExxxxx0380PfC0031	2019-04-24	1	1	Plasmodium falciparum	2019-04-24	SRR8951243	SRS4668515	95KExxxxx0380PfC0031	Cohort Cross-Section	Raliew	1995	Kenya	Homo sapiens		95KExxxxx0380PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
272	SAMN11483528	sra	ncbi		SRX5730999	DHPS, DHFR	94KExxxxx0084PfC0031	2019-04-24	3	1	Plasmodium falciparum	2019-04-24	SRR8951244	SRS4668514	94KExxxxx0084PfC0031	Cohort Cross-Section	Ndwara/Nyangoma	1994	Kenya	Homo sapiens		94KExxxxx0084PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
266	SAMN11483527	sra	ncbi		SRX5730998	DHPS, DHFR	94KExxxxx0083PfC0031	2019-04-24	4	2	Plasmodium falciparum	2019-04-24	SRR8951245	SRS4668513	94KExxxxx0083PfC0031	Cohort Cross-Section	Ndwara/Nyangoma	1994	Kenya	Homo sapiens		94KExxxxx0083PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
368	SAMN11831353	fastq sra	ncbi s3	s3.us-east-1	SRX5956892	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	18SLPAxxM0115PfB1230	2019-06-03	2	1	Plasmodium falciparum	2019-06-03	SRR9184251	SRS4867383	18SLPAxxM0115PfB1230	Domestic imported malaria sample (DMS 2018)	Pennsylvania	2018	Sierra Leone	"Homo Sapiens"	Malaria	18SLPAxxM0115PfB1230	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
360	SAMN11831354	fastq sra	ncbi s3	s3.us-east-1	SRX5956891	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	18LRPAxxM0116PfB1230	2019-06-03	1	0	Plasmodium falciparum	2019-06-03	SRR9184252	SRS4867379	18LRPAxxM0116PfB1230	Domestic imported malaria sample (DMS 2018)	Pennsylvania	2018	Liberia	"Homo Sapiens"	Malaria	18LRPAxxM0116PfB1230	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
386	SAMN11831351	fastq sra	ncbi s3	s3.us-east-1	SRX5956890	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	18LRPAxxA114APfB1230	2019-06-03	2	1	Plasmodium falciparum	2019-06-03	SRR9184253	SRS4867381	18LRPAxxA114APfB1230	Domestic imported malaria sample (DMS 2018)	Pennsylvania	2018	Liberia	"Homo Sapiens"	Malaria	18LRPAxxA114APfB1230	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
361	SAMN11831352	fastq sra	ncbi s3	s3.us-east-1	SRX5956889	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	18LRPAxxx114BPfB1230	2019-06-03	2	1	Plasmodium falciparum	2019-06-03	SRR9184254	SRS4867378	18LRPAxxx114BPfB1230	Domestic imported malaria sample (DMS 2018)	Pennsylvania	2018	Liberia	"Homo Sapiens"	Malaria	18LRPAxxx114BPfB1230	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
356	SAMN11831349	fastq sra	ncbi s3	s3.us-east-1	SRX5956888	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	18ETCAxxx0112PfB1230	2019-06-03	5	3	Plasmodium falciparum	2019-06-03	SRR9184255	SRS4867380	18ETCAxxx0112PfB1230	Domestic imported malaria sample (DMS 2018)	California	2018	Ethiopia	"Homo Sapiens"	Malaria	18ETCAxxx0112PfB1230	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
334	SAMN11831350	fastq sra	ncbi s3	s3.us-east-1	SRX5956887	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	18NGPAxxx0113PfB1230	2019-06-03	3	2	Plasmodium falciparum	2019-06-03	SRR9184256	SRS4867377	18NGPAxxx0113PfB1230	Domestic imported malaria sample (DMS 2018)	Pennsylvania	2018	Nigeria	"Homo Sapiens"	Malaria	18NGPAxxx0113PfB1230	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
319	SAMN11831337	fastq sra	ncbi s3	s3.us-east-1	SRX5956886	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	18UGAZxxx100APfB1230	2019-06-03	2	1	Plasmodium falciparum	2019-06-03	SRR9184257	SRS4867376	18UGAZxxx100APfB1230	Domestic imported malaria sample (DMS 2018)	Arizona	2018	Uganda	"Homo Sapiens"	Malaria	18UGAZxxx100APfB1230	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
276	SAMN11831338	fastq sra	ncbi s3	s3.us-east-1	SRX5956885	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	18UGAZxxx100BPfB1230	2019-06-03	3	2	Plasmodium falciparum	2019-06-03	SRR9184258	SRS4867375	18UGAZxxx100BPfB1230	Domestic imported malaria sample (DMS 2018)	Arizona	2018	Uganda	"Homo Sapiens"	Malaria	18UGAZxxx100BPfB1230	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
290	SAMN11831324	fastq sra	ncbi s3	s3.us-east-1	SRX5956884	K13, CytB, DHPS, DHFR, CRT, MDR1	18GNWI00x0086PfB1190	2019-06-03	4	2	Plasmodium falciparum	2019-06-03	SRR9184259	SRS4867374	18GNWI00x0086PfB1190	Domestic imported malaria sample (DMS 2018)	Wisconsin	2018	Guinea	"Homo Sapiens"	Malaria	18GNWI00x0086PfB1190	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
263	SAMN11831331	fastq sra	ncbi s3	s3.us-east-1	SRX5956881	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	18SDMOxxx0094PfB1230	2019-06-03	3	1	Plasmodium falciparum	2019-06-03	SRR9184262	SRS4867370	18SDMOxxx0094PfB1230	Domestic imported malaria sample (DMS 2018)	Missouri	2018	Sudan	"Homo Sapiens"	Malaria	18SDMOxxx0094PfB1230	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
268	SAMN11831332	fastq sra	ncbi s3	s3.us-east-1	SRX5956880	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	18xxORxxx0095PfB1230	2019-06-03	5	2	Plasmodium falciparum	2019-06-03	SRR9184263	SRS4867371	18xxORxxx0095PfB1230	Domestic imported malaria sample (DMS 2018)	Oregon	2018	NA	"Homo Sapiens"	Malaria	18xxORxxx0095PfB1230	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
292	SAMN11831333	fastq sra	ncbi s3	s3.us-east-1	SRX5956879	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	18xxMAxxx0096PfB1230	2019-06-03	4	2	Plasmodium falciparum	2019-06-03	SRR9184264	SRS4867368	18xxMAxxx0096PfB1230	Domestic imported malaria sample (DMS 2018)	Massachusetts	2018	NA	"Homo Sapiens"	Malaria	18xxMAxxx0096PfB1230	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
359	SAMN11831343	fastq sra	ncbi s3	s3.us-east-1	SRX5956878	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	18xxCAxxx0105PfB1230	2019-06-03	4	2	Plasmodium falciparum	2019-06-03	SRR9184265	SRS4867369	18xxCAxxx0105PfB1230	Domestic imported malaria sample (DMS 2018)	California	2018	NA	"Homo Sapiens"	Malaria	18xxCAxxx0105PfB1230	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
310	SAMN11831334	fastq sra	ncbi s3	s3.us-east-1	SRX5956877	K13, Mitochondrial genome, DHPS, DHFR, CRT, MDR1	18GHMAxxx0097PfB1230	2019-06-03	4	2	Plasmodium falciparum	2019-06-03	SRR9184266	SRS4867367	18GHMAxxx0097PfB1230	Domestic imported malaria sample (DMS 2018)	Massachusetts	2018	Ghana	"Homo Sapiens"	Malaria	18GHMAxxx0097PfB1230	blood	Whole Blood	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
